Time series name,Main counterparts of M3 - Other deposits over 2 years,Main counterparts of M3 - Deposits redeemable at notice over 3 months,Main counterparts of M3 - Securities other than capital over 2 years,Main counterparts of M3 - Capital and reserves,Main counterparts of M3 - MFIs non-monetary liabilities,Main counterparts of M3 - Credit to the GG,Main counterparts of M3 - Credit to the NMS except GG,Main counterparts of M3 - Credit to the NMS,Main counterparts of M3 - Net external assets,GG financing - Residents net credit - MFI,GG financing - Residents net credit - MFI - Securities,GG financing - Residents net credit - Other sectors - Loans and deposits,GG financing - Residents net credit - Other sectors - Loans and deposits - SC,GG financing - Residents net credit - Other sectors - ST securities,GG financing - Residents net credit - Other sectors - MLT securities,GG financing - Residents net credit - Other sectors - Total,GG financing - Residents net credit - Total,GG financing - Non-residents net credit - Loans and deposits - Total,GG financing - Non-residents net credit - Loans and deposits - TNFL,GG financing - Non-residents net credit - Securities - ST securities,GG financing - Non-residents net credit - Securities - MLT securities,GG financing - Non-residents net credit - Securities - Total,GG financing - Non-residents net credit - Total,GG financing - Total,Reserve assets - end-of-period position,"Reserve assets, monetary gold - end-of-period position","Reserve assets, special drawing rights (SDR) - end-of-period position","Reserve assets, reserve position in the IMF - end-of-period position","Reserve assets, other reserve assets, currency and deposits - end-of-period position","Reserve assets, other reserve assets, debt securities - end-of-period position","Reserve assets, other reserve assets, financial derivatives - end-of-period position","Reserve assets, monetary gold (in troy ounces) - end-of-period position"
31-12-2010,2459350,118873,2699485,2025625,7303333,3186163,13233217,16419380,636373,14781,13556,-687,-1716,1288,5935,6536,21317,-1211,-77,-6300,3809,-2491,-3703,17614,15716.84,12979.49,964.27,267.41,216.9,1290.07,-0.65,12297.96
30-11-2010,2424203,119364,2710164,2006778,7260509,3255677,13270051,16525728,562917,8860,9840,-795,-1427,714,7272,7192,16052,-211,89,-5753,3488,-2265,-2475,13576,15855.84,13009.47,978.15,271.26,346.81,1247.23,1.46,12297.96
31-10-2010,2366289,119145,2670566,1969636,7125636,3252902,13153983,16406885,518081,7374,9197,-479,-1233,694,6158,6372,13746,-415,-83,-2979,2559,-420,-835,12911,14652.17,11863.54,944.97,262.12,337.5,1243.41,0.31,12297.96
30-09-2010,2374112,120814,2665270,1957750,7117946,3065078,13188351,16253430,593019,5724,8996,-740,-1012,698,4760,4718,10442,759,-126,-4709,4321,-388,371,10813,14700.24,11813.18,950.27,252.01,433.5,1254,-1.36,12297.96
31-08-2010,2381060,123483,2683773,1979195,7167511,3053669,13184600,16238269,601644,6603,9045,-716,-885,540,3277,3102,9704,1287,-233,-3959,2335,-1624,-338,9367,14730.96,11963.36,992.03,298.8,252.5,1223.17,0.55,12297.96
31-07-2010,2373222,124838,2671264,1936133,7105457,3046606,13185843,16232448,569037,10728,7772,-688,-758,375,2538,2225,12953,2827,-226,-6008,489,-5519,-2692,10261,13859.13,11025.5,971.49,292.67,303.24,1242.76,11.73,12297.96
30-06-2010,2348620,127018,2693721,1974921,7144280,3053126,13167487,16220613,645215,9675,7157,-569,-604,1255,2690,3376,13050,-478,-141,-4016,-1135,-5151,-5630,7421,14921.84,12432.26,1004.01,296.45,342.15,855.39,-4.21,12297.96
31-05-2010,2263932,128215,2703155,1889702,6985004,3000173,13145586,16145758,642874,9863,6653,-528,-483,70,1136,679,10542,-402,-231,-2309,-2456,-4766,-5168,5374,14691.09,12131.09,992.27,292.98,394.23,889.5,-4.49,12297.96
30-04-2010,2261288,130033,2672533,1846696,6910550,2960559,13145772,16106331,569905,2895,5120,-415,-367,128,1273,986,3882,-18,-182,-1414,1386,-28,-46,3836,13180.3,10854.81,945.78,222.55,347.03,810.24,-0.06,12297.96
31-03-2010,2245090,133230,2658754,1832298,6869372,2946254,13087717,16033971,572132,1864,1562,-486,-257,-43,614,85,1948,73,-219,-2774,3047,273,347,2295,12090.1,10122.85,938.79,220.9,171.59,637.7,-0.87,12297.96
28-02-2010,2242171,133314,2635944,1819540,6830969,2893488,13086538,15980027,589417,740,1339,-351,-161,-93,415,-30,710,-4,-99,-1812,1573,-239,-243,467,11977.98,10082.16,941.19,242.88,112.48,599.27,0,12297.96
31-01-2010,2228321,134054,2635332,1800895,6798602,2862002,13092957,15954960,581695,582,14,-328,-76,-60,-307,-695,-114,178,-44,-947,1271,324,502,388,11194.76,9534.31,927.28,239.32,29.2,464.65,0,12297.96
31-12-2009,2214152,133057,2586032,1804249,6737490,2837433,13103231,15940664,569391,7013,5697,-99,-784,-913,1043,31,7043,536,-55,3596,5964,9560,10096,17139,11096.3,9424.51,907.12,234.1,169.18,361.39,0,12297.96
30-11-2009,2174676,134119,2585481,1790184,6684460,2878418,13065159,15943577,581347,7358,5065,-77,-706,-1343,1452,31,7389,486,-13,1487,5707,7194,7680,15069,11189.21,9594.1,893.13,198.34,153.79,349.84,0,12297.96
31-10-2009,2165995,133481,2586552,1749676,6635704,2882611,13022943,15905554,558338,6281,5153,74,-614,-1488,1835,421,6702,578,-168,1359,4106,5466,6044,12745,10354.8,8679.21,895.04,198.79,122.26,459.39,0.06,12297.96
30-09-2009,2164962,131258,2587936,1741219,6625375,2847714,13069531,15917245,543002,7151,5070,-139,-522,-1117,709,-547,6604,642,-276,110,4211,4321,4962,11567,10038.45,8409.03,900.92,200.1,69.17,459.24,0,12297.96
31-08-2009,2150215,130310,2609832,1717544,6607901,2823201,13020219,15843420,551237,4782,5257,-167,-442,-1434,1084,-517,4265,227,-213,1647,4222,5869,6095,10360,9759.21,8192.47,787.22,201.48,76.51,501.53,0,12297.96
